;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;February 2015;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;Универ;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;;;;;;;;;=_xludf.count(E29)+_xludf.count(G29)+_xludf.count(H29)+_xludf.count(I29);;;;;;;;;=_xludf.count(L29:P29)+_xludf.count(R29);;=V28+K29-T29;;=IF(OR(W29="",V29=""),"",W29-V29);
;;;;;;;;;;=_xludf.count(E30)+_xludf.count(G30)+_xludf.count(H30)+_xludf.count(I30);;;;;;;;;=_xludf.count(L30:P30)+_xludf.count(R30);;=V29+K30-T30;;=IF(OR(W30="",V30=""),"",W30-V30);
;;;;;;;;;;=_xludf.count(E31)+_xludf.count(G31)+_xludf.count(H31)+_xludf.count(I31);;;;;;;;;=_xludf.count(L31:P31)+_xludf.count(R31);;=V30+K31-T31;;=IF(OR(W31="",V31=""),"",W31-V31);
;;;;;;;;;;=_xludf.count(E32)+_xludf.count(G32)+_xludf.count(H32)+_xludf.count(I32);;;;;;;;;=_xludf.count(L32:P32)+_xludf.count(R32);;=V31+K32-T32;;=IF(OR(W32="",V32=""),"",W32-V32);
;;;;;;;;;;=_xludf.count(E33)+_xludf.count(G33)+_xludf.count(H33)+_xludf.count(I33);;;;;;;;;=_xludf.count(L33:P33)+_xludf.count(R33);;=V32+K33-T33;;=IF(OR(W33="",V33=""),"",W33-V33);
;;;;;;;;;;=_xludf.count(E34)+_xludf.count(G34)+_xludf.count(H34)+_xludf.count(I34);;;;;;;;;=_xludf.count(L34:P34)+_xludf.count(R34);;=V33+K34-T34;;=IF(OR(W34="",V34=""),"",W34-V34);
;;;;;;;;;;=_xludf.count(E35)+_xludf.count(G35)+_xludf.count(H35)+_xludf.count(I35);;;;;;;;;=_xludf.count(L35:P35)+_xludf.count(R35);;=V34+K35-T35;;=IF(OR(W35="",V35=""),"",W35-V35);
;;;;;;;;;;=_xludf.count(E36)+_xludf.count(G36)+_xludf.count(H36)+_xludf.count(I36);;;;;;;;;=_xludf.count(L36:P36)+_xludf.count(R36);;=V35+K36-T36;;=IF(OR(W36="",V36=""),"",W36-V36);
;;;;;;;;;;=_xludf.count(E37)+_xludf.count(G37)+_xludf.count(H37)+_xludf.count(I37);;;;;;;;;=_xludf.count(L37:P37)+_xludf.count(R37);;=V36+K37-T37;;=IF(OR(W37="",V37=""),"",W37-V37);
;;;;;;;;;;=_xludf.count(E38)+_xludf.count(G38)+_xludf.count(H38)+_xludf.count(I38);;;;;;;;;=_xludf.count(L38:P38)+_xludf.count(R38);;=V37+K38-T38;;=IF(OR(W38="",V38=""),"",W38-V38);
;;;;;;;;;;=_xludf.count(E39)+_xludf.count(G39)+_xludf.count(H39)+_xludf.count(I39);;;;;;;;;=_xludf.count(L39:P39)+_xludf.count(R39);;=V38+K39-T39;;=IF(OR(W39="",V39=""),"",W39-V39);
;;Сумма;;=_xludf.count(E9:E39);;=_xludf.count(G9:G39);=_xludf.count(H9:H39);=_xludf.count(I9:I39);;=SUM(K9:K39);=_xludf.count(L9:L39);=_xludf.count(M9:M39);=_xludf.count(N9:N39);=_xludf.count(O9:O39);=_xludf.count(P9:P39);;=_xludf.count(R9:R39);;=SUM(T9:T39);;;;=IF(W40="","",W40-V40);
;;;;;;;;;;;;;;;;;;;;;;;;
;;Корректировка;=X39;;;;;;;;;;;;;;;;;;;;;
;;Всего получено;=K40;;;;;;;;;;;;;;;;;;;;;
;;Всего потрачено;=T40;;;;;;;;;;;;;;;;;;;;;
;;Прибыль;=K40-T40;;;;;;;;;;;;;;;;;;;;;
;;Стартовый капитал;=E5;;;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;=W39;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
